Date,Open,High,Low,Close,Volume
2021-11-26,455.4481171600917,456.9848605880097,450.9462327293489,452.12835693359375,112669600
2021-11-29,457.1523706155449,459.60524393312346,454.84725531781993,457.6744689941406,86268800
2021-11-30,455.11323109448887,457.1129698467912,448.51309212497694,448.76922607421875,148559600
2021-12-01,454.7585625872926,457.7433945901328,443.57774572304714,443.78460693359375,131939200
2021-12-02,444.01116977197296,452.22684531968594,443.5974173063668,450.58172607421875,127637800
2021-12-03,452.3253898476043,453.43852023575164,442.2281816015183,446.6611022949219,137331600
2021-12-06,449.33069751892725,453.92123678080793,446.7990000395724,451.9510498046875,98977500
2021-12-07,457.48731422801956,461.89068374402876,451.8131655731164,461.29962158203125,95484700
2021-12-08,461.71333382699515,462.9939433473569,459.87118373592966,462.5210876464844,72238800
2021-12-09,461.1715328043396,462.62948205998595,459.19151523985863,459.39837646484375,61272600
2021-12-10,462.23542966164496,463.88051895672453,459.555974163287,463.722900390625,77159800
2021-12-13,463.1811154492322,463.5455952344251,459.31953569933046,459.6150817871094,87724700
2021-12-14,456.18694695355384,458.7974387254398,453.3892850109791,456.4529113769531,97264100
2021-12-15,456.51205763097414,463.8411258482515,453.8719841187196,463.58502197265625,116899300
2021-12-16,465.5256547758522,465.8211708085714,457.8714588390697,459.49688720703125,116568600
2021-12-17,456.26727049651515,459.4207614407518,452.8172253000845,454.60650634765625,135511600
2021-12-20,449.2781837713862,450.1876368627965,445.9764159219401,449.7724609375,107134800
2021-12-21,453.3609305057284,457.9082868957625,451.0872673948548,457.760009765625,69806300
2021-12-22,457.49309513220595,462.45562731524785,457.2854769888965,462.3370056152344,58890200
2021-12-23,463.384882894794,466.78551250219414,463.2761563897189,465.2137145996094,56439700
2021-12-27,466.65699037424486,471.8469010045365,466.6075747212709,471.7974853515625,56808600
2021-12-28,472.25217296117563,473.32969355435415,470.6111691628179,471.4118957519531,47274600
2021-12-29,471.520676426014,473.08257906373285,470.4728112024703,472.01495361328125,54503000
2021-12-30,472.45978286474065,473.51754328114333,470.2256705027333,470.7100524902344,55329000
2021-12-31,470.19601309008607,471.4020204549628,469.2371141484059,469.5237731933594,65237400
2022-01-03,470.84844425912456,472.3807216657983,468.42650410269573,472.2423095703125,72668200
2022-01-04,473.7350360685361,474.4863470589239,470.1366836075056,472.0841369628906,71178700
2022-01-05,471.69861022869173,472.5092320583563,462.92024253253254,463.01910400390625,104538900
2022-01-06,462.53475182573953,465.43120909713906,460.1028861799993,462.58416748046875,86858900
2022-01-07,462.5940675430594,463.8297606071574,459.33181975286794,460.7553405761719,85111600
2022-01-10,457.4041104866488,460.4092939939143,451.37392290910174,460.18194580078125,119362000
2022-01-11,459.90518843943073,464.47230508019663,456.76156242338106,464.3734436035156,74303100
2022-01-12,466.1923589724666,467.78394722040724,463.57269588491556,465.6288757324219,67605400
2022-01-13,466.78546443913797,467.46756932998835,458.13561418240937,459.213134765625,91173100
2022-01-14,455.911405158876,459.76676127684203,454.6361615385267,459.4010009765625,95890900
2022-01-18,454.4779996204865,454.6954827997249,450.0987107781213,451.26519775390625,109709100
2022-01-19,452.88641897197675,454.3494601338673,446.2927480410489,446.5794372558594,109357600
2022-01-20,448.5565381938676,453.4894147672063,439.41241041801464,441.63665771484375,122379700
2022-01-21,440.4602696443499,442.93165549618703,432.9373855921343,432.967041015625,202271200
2022-01-24,427.0851483078244,435.3395834284582,415.9441512869428,434.8057556152344,251783900
2022-01-25,428.10335760369844,434.6871333979894,422.26099759477876,429.4972229003906,167997300
2022-01-26,435.67569388631534,438.9577017159584,423.95142308177117,428.4197082519531,186391100
2022-01-27,433.2438395533789,436.53571226839364,424.5346781339232,426.3041687011719,149878300
2022-01-28,427.72771342285955,436.94104773309544,422.9233534873862,436.8916320800781,164457400
2022-01-31,436.1897184269397,445.1262583350566,434.7760929251571,444.760498046875,152251400
2022-02-01,445.5216484474969,448.43789572444734,441.8244649881127,447.76568603515625,123155400
2022-02-02,450.28652478956815,452.87653246527395,447.8645544659762,452.1153564453125,117361000
2022-02-03,445.7885902010251,447.78545910057164,440.60854496229723,441.4883728027344,118024400
2022-02-04,441.2412527498039,447.5976501613361,438.75007640900003,443.5643615722656,118454400
2022-02-07,444.36505529170523,445.8280963553951,440.7469429152332,442.14080810546875,84472900
2022-02-08,441.6169115248988,446.74751119945404,440.1241847488413,445.7787170410156,81012000
2022-02-09,450.0097386724572,452.6392970170899,449.8021506939638,452.3031921386719,92589900
2022-02-10,446.17411501257595,452.47120137121067,442.0815157066429,444.17724609375,140103700
2022-02-11,444.266213628056,446.44101509500166,433.9160483867408,435.41864013671875,153214600
2022-02-14,434.8848708117567,436.54563498586,430.3572747041986,433.9951477050781,123006300
2022-02-15,438.6512410794835,441.17204265347874,438.10751807548485,440.9941101074219,88482700
2022-02-16,438.8489194497072,442.9316536871931,436.8817059735302,441.4883728027344,84863600
2022-02-17,438.147085436672,441.45874873347236,431.4249275370094,432.0575866699219,102259100
2022-02-18,432.32447369113333,433.6392679106509,426.87755957227427,429.2599792480469,132642900
2022-02-22,426.94677375799444,430.5154406567137,420.98576177196225,424.6533203125,124391800
2022-02-23,427.7079536938864,428.30109237221666,416.5274057552635,417.12054443359375,132578000
2022-02-24,406.3156087388995,423.8525838825361,405.9399834174015,423.3978271484375,213942900
2022-02-25,424.6928378276693,432.8286513336713,422.9628676418268,432.73968505859375,121804500
2022-02-28,427.08515110507835,433.18454495400056,425.77038704288657,431.63250732421875,145615000
2022-03-01,430.06070702979645,432.1663326915444,422.22144784831204,425.0586242675781,137785900
2022-03-02,427.4212429119066,434.6871234763599,426.63041149287534,432.8780822753906,117726500
2022-03-03,435.42852013444514,436.0611792082466,428.83484958238404,430.7229919433594,105501700
2022-03-04,426.8083351640208,428.40978836365167,422.98263470528383,427.2235412597656,113978200
2022-03-07,426.6106384934223,427.35205429210276,414.56015796540635,414.6293640136719,137896600
2022-03-08,414.81720238907917,422.32032684373695,410.3687074830403,411.48577880859375,164772700
2022-03-09,420.2740282816254,424.59400614348385,417.9805748540562,422.5180358886719,116990800
2022-03-10,417.6839951875607,421.54924652064017,415.62781530487996,420.6101379394531,93972700
2022-03-11,423.2199053036139,423.86245963056786,414.7282266197315,415.2620544433594,95636300
2022-03-14,416.07266383687795,419.6907462879158,411.0310305093529,412.2271728515625,95729200
2022-03-15,414.9654641175031,421.95455087309057,413.6309398298518,421.292236328125,106219100
2022-03-16,424.9696361894637,430.69334404957186,419.9378680923793,430.634033203125,144954800
2022-03-17,428.6273001991835,436.0216979980468,428.23188447143536,436.0216979980469,102676900
2022-03-18,434.331945744177,441.13448178417855,433.55847910607173,440.7973327636719,106345500
2022-03-21,440.6188576005574,442.72109875452185,436.98950474980444,440.66845703125,88349800
2022-03-22,442.1261162499913,446.8065896653376,442.1261162499913,445.82489013671875,74650400
2022-03-23,443.1673142577607,444.7340690854814,439.9941008506733,440.0833435058594,79426100
2022-03-24,442.2054322196226,446.72724161164575,441.0353215133547,446.7173156738281,64736900
2022-03-25,447.3817400586387,449.18650563408687,444.6745916954664,448.89892578125,77101300
2022-03-28,448.2741855384289,452.0919494628906,446.2909346958001,452.0919494628906,68529800
2022-03-29,456.1675067275879,458.2003569597553,453.3512942161517,457.6846923828125,86581500
2022-03-30,456.4848620839005,457.33767571847,452.64727638335665,454.8586120605469,79666900
